date,value
4/28/2013,135.98
4/29/2013,147.49
4/30/2013,146.93
5/1/2013,139.89
5/2/2013,125.6
5/3/2013,108.13
5/4/2013,115
5/5/2013,118.8
5/6/2013,124.66
5/7/2013,
5/8/2013,115.78
5/9/2013,113.46
5/10/2013,122
5/11/2013,118.68
5/12/2013,117.45
5/13/2013,118.7
5/14/2013,119.8
5/15/2013,
5/16/2013,
5/17/2013,125.3
5/18/2013,125.25
5/19/2013,124.5
5/20/2013,123.62
5/21/2013,123
5/22/2013,124
5/23/2013,126.93
5/24/2013,133.85
5/25/2013,133.22
5/26/2013,
5/27/2013,
5/28/2013,
5/29/2013,
5/30/2013,
5/31/2013,
6/1/2013,
6/2/2013,
6/3/2013,
6/4/2013,
6/5/2013,
6/6/2013,
6/7/2013,
6/8/2013,
6/9/2013,108.99
6/10/2013,110.1
6/11/2013,109.6
6/12/2013,111.79
6/13/2013,110.3
6/14/2013,104.7
6/15/2013,103.7
6/16/2013,101.6
6/17/2013,102.21
6/18/2013,111.11
6/19/2013,110.22
6/20/2013,114.3
6/21/2013,114.99
6/22/2013,109.96
6/23/2013,108.8
6/24/2013,108.33
6/25/2013,106.47
6/26/2013,105.49
6/27/2013,104
6/28/2013,101.74
6/29/2013,99.99
6/30/2013,98.12
